Name,Institute,Platform,Filename
AWS Cloud Technical Essentials,AWS,Coursera,aws-cloud.png
Introduction to IT & AWS Cloud,AWS,Coursera,aws-intro.png
Blockchain Basics,University at Buffalo,Coursera,buffalo-blockchain.png
Tensorflow for AI,DeepLearning.ai,Coursera,deeplearning-tensorflow.png
DeFi Primitives,Duke University,Coursera,duke-defi.png
JavaScript Fundamentals,Duke University,Coursera,duke-web-dev.png
Consulting Tools and Tips,Emory University,Coursera,emory-consulting.png
Core Infrastructure,Google,Coursera,google-cloud-infrx.png
Customer Analytics,University of Pennsylvania,Coursera,penn-analytics.png
Data-driven Decision Making,PwC,Coursera,pwc-data-decisions.png
Foundations of Project Management,Google,Coursera,google-pm.png
Fundamentals of Quantitative Modeling,University of Pennsylvania,Coursera,penn-quant-modeling.png
Introduction to Cloud Computing,IBM,Coursera,ibm-cloud.png
Introduction to Trading,New Institute of Finance,Coursera,google-ml-finance.png
Machine Learning in Finance,New York University,Coursera,nyu-ml-finance.png
TensorFlow on GCP,Google,Coursera,google-tensorflow.png
Working with Data,Meta,Coursera,meta-react-native.png
Crash Course on Python,Google,Coursera,google-python.png
Create Serverless Applications,Microsoft,Coursera,msft-serverless.png
Data Analysis with R Programming,Google,Coursera,google-r-data-analysis.png
GCP: Core Infrastructure,Google,Coursera,google-infrx.png
Microsoft Azure Cloud Services,Microsoft,Coursera,msft-cloud.png
Production Machine Learning Systems,Google,Coursera,google-prod-ml.png
Supervised Machine Learning: Regression and Classification,Stanford University,Coursera,stanford-machine-learning.png
The Full Stack,Meta,Coursera,meta-full-stack.png
Databricks Fundamentals,Databricks,Databricks Academy,databricks-fundamentals.png
